Address,"Clean Air Act","Danger Level"
"60 LISTER AVE.",Yes,1
"60 WEBRO RD",Yes,1
"610 E 36TH ST",Yes,1
"610 RAHWAY AVE",Yes,1
"610 RIVER RD.",Yes,1
"615 RIVER RD",Yes,1
"616 HOLLYWOOD AVE",Yes,1
"61 KULLER RD.",Yes,1
"624 SCHUYLER AVE",Yes,2
"62 WOOLSEY ST",Yes,1
"641 DOWD AVE",Yes,1
"651 TONNELE AVE.",Yes,1
"652 DOREMUS AVE.",Yes,1
"65 CHAMBERS ST.",Yes,1
"65 EUCLID AVE",Yes,1
"660 FRELINGHUYSEN AVE.",Yes,1
"665 STATE HWY. 23",Yes,1
"665 WASHINGTON AVE.",Yes,2
"681 LAWLINS RD, SUITE 10",Yes,1
"681 MAIN ST.",Yes,1
"68 69TH ST.",Yes,1
"690 MONTROSE AVE.",Yes,1
"691 CENTRAL AVE",Yes,1
"699 RTE. 46 E.",Yes,1
"6 EASTMANS RD.",Yes,1
"6 JEROME AVE.",Yes,1
"700 BARTLEY-CHESTER RD",Yes,1
"700 BLAIR RD.",Yes,1
"700 GOTHAM PKWY",Yes,1
"700 PARSIPPANY RD",Yes,1
"700 UNION BLVD.",Yes,1
"701 12TH ST",Yes,1
"70 OLD TURNPIKE RD.",Yes,1
"70 PASSAIC ST",Yes,1
"70 WAIT ST.",Yes,3
"7101 TONNELLE AVE.",Yes,1
"714-716 CLIFTON AVE.",Yes,1
"71 NEWARK WAY",Yes,1
"726 ROCKEFELLER ST.",Yes,1
"730 DIVISION ST",Yes,1
"730 GRAND AVE",Yes,1
"730 S 13TH ST",Yes,1
"741/2 CHESTNUT ST.",Yes,1
"746 GOTHAM PKWY",Yes,1
"74 HUDSON AVE",Yes,1
"750 UNION AVE",Yes,1
"751 CLIFF RD",Yes,1
"757 PAGE AVE.",Yes,1
"75 LONG BRANCH AVE",Yes,1
"75 RT 130",Yes,2
"75 TROY HILLS RD.",Yes,1
"760 ROOSEVELT AVE",Yes,2
"76 E 24TH ST",Yes,2
"7700 RIVER RD.",Yes,1
"77 MOONACHIE AVE.",Yes,1
"77 N HILLSIDE RD",Yes,1
"77 RIVER RD",Yes,1
"77 VANDERBURG RD.",Yes,1
"787 E 27TH ST",Yes,1
"792 21ST AVE.",Yes,1
"7 GREAT MEADOW LN",Yes,1
"800 BERGEN ST",Yes,1
"800 FORD RD.",Yes,1
"800 JEFFERSON AVE.",Yes,1
"800 ROSE LN.",Yes,1
"800 STATE HWY. #3",Yes,1
"80 WHEELER POINT RD.",Yes,1
"8-10 22ND ST.",Yes,1
"8-10 LISTER AVE.",Yes,1
"814 ASBURY AVE",Yes,1
"827 MARTIN ST",Yes,1
"830 MAGNOLIA AVE.",Yes,1
"849 BROADWAY",Yes,1
"84 DAYTON AVE.",Yes,1
"84 LISTER AVE",Yes,1
"84 LOCKWOOD ST",Yes,1
"84 N HACKENSACK AVE",Yes,1
"84 WAYDELL ST",Yes,1
"84 WAYDELL ST.",Yes,1
"850 HAMILTON ST.",Yes,1
"85 3TH ST",Yes,1
"85 5TH AVEUE BUILDING 5",Yes,1
"85 HORSEHILL RD",Yes,1
"85 LINCOLN HWY.",Yes,1
"86 MORRIS AVE.",Yes,1
"88 GROVE ST",Yes,1
"89 YELLOWBROOK RD",Yes,1
"8 EMPIRE BLVD.",Yes,1
"8 FERNWOD RD",Yes,1
"8 HENDERSON DR",Yes,1
"8 NORTH AVE. E.",Yes,2
"901 LEHIGH AVE",Yes,1
"909 DELANCY ST",Yes,2
"90 COLES RD",Yes,1
"90 DAYTON AVE.",Yes,1
"90 MALTESE DR",Yes,1
"90 MYRTLE ST.",Yes,1
"910 SYLVAN AVE",Yes,1
"91 ILLINOIS AVE",Yes,1
"91 MICHIGAN AVE",Yes,1
"91 WALSH DR.",Yes,1
"9252 KENNEDY BLVD.",Yes,1
"92 NEWARK POMPTON TURNPIKE",Yes,1
"932 PATERSON PLANK RD.",Yes,1
"936 HARRISON AVE",Yes,1
"94 FANNY RD",Yes,1
"9500 RAILROAD AVE.",Yes,1
"950 RIVER DR.",Yes,1
"952 PALMER AVE",Yes,1
"95 GREENWOOD AVE FACILITY",Yes,1
"969 NEWARK TURNPIKE",Yes,1
"970 RIVERVIEW DR.",Yes,1
"990 RIVERVIEW DR",Yes,1
"999 WILLOW GROVE ST",Yes,1
"9 AUDREY PL",Yes,1
"9 ROY ST",Yes,2
"9 ROY ST.",Yes,1
"9 WHIPPANY RD.",Yes,1
"ALPHANO RD.",Yes,2
"ARBOR ST.",Yes,1
"ATLANTIC AVE. & DELAWARE RIVER",Yes,1
"BERRY AVE. & RTE. 17 N.",Yes,2
"BEVERLY RD",Yes,2
"BLDG 350 COASTAL ST",Yes,2
"BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIRPORT",Yes,2
"CENTER ST.",Yes,1
"CLIFFWOOD AVE.",Yes,1
"CORNER OF PARK & BRUNSWICK AVENUES",Yes,3
"DAVIS & SHREEVE RDS.",Yes,1
"DEMAREST RD.",Yes,2
"DUFFIELD & VAN KEUREN AVE",Yes,3
"DULTY'S LN AT RT 130",Yes,1
"END OF S. WOOD AVE.",Yes,1
"FAIR LAWN AVE. & 3RD ST.",Yes,2
"FOOT OF 13TH ST.",Yes,1
"FOOT OF BROAD ST",Yes,1
"FOOT OF CURIE AVE",Yes,1
"FOOT OF E 5TH ST",Yes,1
"FOOT OF EMMET ST",Yes,2
"FOOT OF JERSEY AVE",Yes,1
"FOOT OF SANFORD AVE.",Yes,1
"FOOT OF S  WOOD AVE",Yes,2
"FOOT OF S. WOOD AVE.",Yes,1
"FOOT OF WYCKOFF ROAD/, INDUSTRIAL RD.",Yes,1
"HANOVER AVE & HORSEHILL RD",Yes,1
"HEUBACH AVE",Yes,2
"INDUSTRIAL AVE.",Yes,1
"KENTILE RD.",Yes,1
"LINDEN AVE.",Yes,2
"MARIN AVE. & ORIENT WAY",Yes,1
"MERRY LN.",Yes,1
"MOUNT VERNON RD.",Yes,1
"MT PISGAH AVE",Yes,1
