Address,Brownfield,County,"Danger Level","Water Amount"
"MT PISGAH AVE",N/A,WARREN,1,"0 Pounds"
"NEW BROOKLYN-NEW FREEDOM RD",N/A,CAMDEN,1,"0 Pounds"
"NEW PROVIDENCE RD",N/A,UNION,1,"0 Pounds"
"OLD FLANDERS RD",N/A,MORRIS,1,"0 Pounds"
"ONE AVE L",N/A,ESSEX,1,"0 Pounds"
"ONE AVE L",N/A,ESSEX,1," Pounds"
"ONE CARNEGIE PLAZA",N/A,CAMDEN,1,"0 Pounds"
"PENNSYLVANIA AVE",N/A,HUDSON,1,"0 Pounds"
"RANDOLPH AVE. & WOODBRIDGE RD.",N/A,MIDDLESEX,1,"0 Pounds"
"ROCKPORT & THOMAS RDS.",N/A,WARREN,1,"750 Pounds"
"RT # 524 ARDENA RD",N/A,MONMOUTH,1,"0 Pounds"
"RTE 130 S",N/A,GLOUCESTER,1,"0 Grams"
"RTE 130 S",N/A,GLOUCESTER,1,"0 Pounds"
"RTE. 31",N/A,WARREN,1,"0 Pounds"
"RTE. 322 & I-295",N/A,GLOUCESTER,5,"0 Pounds"
"RTE. 322 & I-295",N/A,GLOUCESTER,5,".1 Pounds"
"RTE. 322 & I-295",N/A,GLOUCESTER,5,"1 Pounds"
"RTE. 322 & I-295",N/A,GLOUCESTER,5,"2 Pounds"
"RTE. 46",N/A,BERGEN,1,"0 Pounds"
"RTE. 565",N/A,SUSSEX,1,"0 Pounds"
"RTE. 79 & RYAN RD.",N/A,MONMOUTH,1,"0 Pounds"
"S 3RD & SOMERSET ST",N/A,HUDSON,1,"0 Pounds"
"TERMINAL WAY OFF RANDOLF AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"TETERBORO AIRPORT",N/A,BERGEN,1,"0 Pounds"
"TIMBER LN.",N/A,MONMOUTH,1,"0 Pounds"
"UNION AVE & DUBOIS ST",N/A,BERGEN,1," Pounds"
"VERNON CROSSING RD.",N/A,SUSSEX,1,"0 Pounds"
"W BROAD ST & DEVLIN AVE",N/A,BURLINGTON,1,"0 Pounds"
