Address,Brownfield,County,"Danger Level","Water Amount"
"17 EMPIRE BLVD.",N/A,BERGEN,1,"0 Pounds"
"17 WEST ST.",N/A,MORRIS,1,"0 Pounds"
"1804 RIVER RD",N/A,BURLINGTON,1,"0 Pounds"
"1804 RIVER RD",N/A,BURLINGTON,1," Pounds"
"180 E. UNION AVE.",N/A,BERGEN,1,"0 Pounds"
"1818 RIVER RD",N/A,BURLINGTON,1,".2 Pounds"
"181 SARGENT AVE",N/A,PASSAIC,1,"0 Pounds"
"182 TABOR RD.",N/A,MORRIS,1,"0 Pounds"
"18-35 RIVER RD.",N/A,BERGEN,1,"0 Pounds"
"185 FOUNDRY ST",N/A,ESSEX,1,"0 Pounds"
"185 SCOLES AVE.",N/A,PASSAIC,1,"0 Pounds"
"18 MALVERN ST.",N/A,ESSEX,1,"0 Pounds"
"190 JONY DR.",N/A,BERGEN,1,"0 Pounds"
"191 E HANOVER AVE",N/A,MORRIS,1,"0 Pounds"
"191 E RAILWAY AVE",N/A,PASSAIC,1," Pounds"
"1930 OLNEY AVE",N/A,CAMDEN,1,"0 Pounds"
"19-37 DELAWARE AVE",N/A,PASSAIC,1,"0 Pounds"
"1940 PASSAIC ST.",N/A,PASSAIC,1,"0 Pounds"
"19-47 AMES BLVD",N/A,SUSSEX,1,"0 Pounds"
"195 N  ST",N/A,BERGEN,1," Pounds"
"195 RIVER ST.",N/A,PASSAIC,1,"0 Pounds"
"196 COIT ST.",N/A,ESSEX,1,"0 Pounds"
"196 WEST 5TH ST.",N/A,HUDSON,1,"0 Pounds"
"199 MAIN ST.",N/A,BERGEN,1,"0 Pounds"
"19 E. 5TH ST.",N/A,PASSAIC,1,"0 Pounds"
"19 INDUSTRIAL AVE.",N/A,BERGEN,1,"0 Pounds"
"19 WESLEY ST",N/A,BERGEN,1,"0 Pounds"
"1 CLIFTON BLVD",N/A,PASSAIC,2,"0 Pounds"
"1 COLOUR PL",N/A,BERGEN,1,"0 Pounds"
"1 ESNA DR",N/A,MORRIS,1,"0 Pounds"
"1 HICKS AVE",N/A,SUSSEX,1,"0 Pounds"
"1 INDUSTRIAL W",N/A,PASSAIC,1,"0 Pounds"
"1 JABEZ ST.",N/A,ESSEX,1,"0 Pounds"
"1 MARKET ST",N/A,BERGEN,1,"0 Grams"
"1 MARKET ST",N/A,BERGEN,1,"0 Pounds"
"1 MARKET ST.",N/A,PASSAIC,1," Pounds"
"1 N CORPORATE DR",N/A,MORRIS,1,"0 Pounds"
"1 RARITAN RD",N/A,BERGEN,1," Pounds"
"1 REAGENT LN",N/A,BERGEN,2,"0 Pounds"
"1 REAGENT LN",N/A,BERGEN,2,"1 Pounds"
"1 RIVER RD.",N/A,BERGEN,1,"0 Pounds"
"1 SHERIDAN AVE.",N/A,UNION,1,"0 Pounds"
"1 STANLEY ST",N/A,BERGEN,1,"0 Pounds"
"1 TENAKILL PARK",N/A,BERGEN,1,"0 Pounds"
"1 THIRD AVE",N/A,PASSAIC,2,"0 Pounds"
"1 WASHINGTON AVE.",N/A,PASSAIC,2,"0 Pounds"
"1 W CENTRAL AVE",N/A,HUDSON,1,"0 Pounds"
"2000 MARSHES DOCK RD",N/A,UNION,1,"0 Pounds"
"20-01 POLLITT DR",N/A,BERGEN,2,"0 Pounds"
"200-222 TERMINAL AVE",N/A,UNION,1,"0 Pounds"
"200 BIRMINGHAM RD",N/A,BURLINGTON,2,"0 Pounds"
"200 BIRMINGHAM RD",N/A,BURLINGTON,2,"20.6 Pounds"
"200 BIRMINGHAM RD",N/A,BURLINGTON,2,"604 Pounds"
"200 BIRMINGHAM RD",N/A,BURLINGTON,2,"80.6 Pounds"
"200 E. HANOVER AVE.",N/A,MORRIS,1,"5 Pounds"
"200 ELMORA AVE",N/A,UNION,2,"0 Pounds"
"200 GREGG ST.",N/A,BERGEN,1,"0 Pounds"
"200 INDUSTRIAL AVE",N/A,BERGEN,1,"0 Pounds"
"200 KELLOGG ST",N/A,HUDSON,1,"0 Pounds"
"200 PULASKI ST.",N/A,ESSEX,1,"0 Pounds"
"200 S. 1ST ST.",N/A,UNION,1," Pounds"
"200 WAGARAW RD",N/A,PASSAIC,1,"0 Pounds"
"20-10 MAPLE AVE.",N/A,BERGEN,1,"0 Pounds"
"2013 MCCARTER HWY",N/A,ESSEX,1,"0 Pounds"
"201 HWY 34 BLDG C-2",N/A,MONMOUTH,1,"0 Pounds"
"201 POLITO AVE",N/A,BERGEN,2,"0 Pounds"
"201 POLITO AVE",N/A,BERGEN,2," Pounds"
"201 ROOSEVELT PL.",N/A,BERGEN,1,"0 Pounds"
"20-21 WAGARAW RD.",N/A,BERGEN,1,"0 Pounds"
"2025 E. LINDEN AVE.",N/A,UNION,1,"0 Pounds"
"205 MAIN ST.",N/A,BERGEN,1,"0 Pounds"
"205 MAYWOOD AVE",N/A,BERGEN,1,"0 Pounds"
"207 19TH AVE",N/A,PASSAIC,1,"0 Pounds"
"209 N MICHIGAN AVE",N/A,UNION,1,"0 Pounds"
"20 BORIGHT AVE",N/A,UNION,1,"0 Pounds"
"20 CAMPUS RD",N/A,PASSAIC,1,"0 Pounds"
"20 CARBON PL.",N/A,HUDSON,1,"0 Pounds"
"20 CONTINENTAL DR.",N/A,PASSAIC,2,"0 Pounds"
"20 CRISPIN RD",N/A,MONMOUTH,1,"0 Pounds"
"20 EMPIRE BLVD",N/A,BERGEN,1,"0 Pounds"
"20 META LN.",N/A,BERGEN,1,"0 Pounds"
"20 NEW DUTCH LN",N/A,ESSEX,1,"0 Pounds"
"20 SAND PARK RD.",N/A,ESSEX,1,"0 Pounds"
"20TH & BROAD ST",N/A,BERGEN,1,"0 Pounds"
"210 CLIFTON BLVD",N/A,PASSAIC,1,"0 Pounds"
"210 DELAWANNA AVE",N/A,PASSAIC,1,"0 Pounds"
"210 DELAWANNA AVE",N/A,PASSAIC,1," Pounds"
"210 GARIBALDI AVE",N/A,BERGEN,1," Pounds"
"2115 HIGH HILL RD",N/A,GLOUCESTER,1," Pounds"
"211 MOUNT PROSPECT AVE.",N/A,PASSAIC,1,"0 Pounds"
"211 RANDOLPH AVE",N/A,MIDDLESEX,3,"0 Pounds"
"211 RANDOLPH AVE",N/A,MIDDLESEX,3," Pounds"
"2120 LAMBERTS MILL RD",N/A,UNION,1,"0 Pounds"
"2121 MC CARTER HWY.",N/A,ESSEX,2,"0 Pounds"
"21-29 INDUSTRIAL PARK",N/A,BERGEN,1," Pounds"
"214 KINGS HWY",N/A,MORRIS,1,"0 Pounds"
"214 S. NEWMAN ST.",N/A,BERGEN,1,"0 Pounds"
"2150 STANLEY TERRACE",N/A,UNION,1,"0 Pounds"
"215 MERRY LN",N/A,MORRIS,1,"0 Pounds"
"215 S. NEWMAN ST.",N/A,BERGEN,1,"750 Pounds"
"216 MIDLAND AVE.",N/A,BERGEN,1,"0 Pounds"
"217 S FIRST ST",N/A,UNION,2,"0 Pounds"
"219-223 STIRLING RD.",N/A,SOMERSET,1,"0 Pounds"
