Address,"Clean Air Act","Fugair Amount",PBT,"Water Amount"
"13 MANOR RD",No,"5 Pounds",NON_PBT,"0 Pounds"
"1400 PARK AVE.",No,"33482 Pounds",NON_PBT,"0 Pounds"
"1400 PARK AVE.",No,"3 Pounds",NON_PBT,"0 Pounds"
"1400 PARK AVE.",Yes,"63 Pounds",NON_PBT,"0 Pounds"
"1400 ROLLER RD.",Yes,"15 Pounds",NON_PBT,"0 Pounds"
"1401 PARK AVE. S.",Yes," Pounds",NON_PBT," Pounds"
"140 E 22ND ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"140 GREEN POND RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"140 LEGRAND AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"140 LITTLE ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"140 LITTLE ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"140 SHOTWELL RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"1413 CHESTNUT AVE.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1413 WILLOW AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"141 MARKET ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"141 MARKET ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"141 MOUNT BETHEL RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"141 N FIFTH ST",No," Pounds",NON_PBT," Pounds"
"142 LOCKWOOD ST",Yes,"0 Pounds",NON_PBT," Pounds"
"143 RIVER RD.",No,"250 Pounds",NON_PBT,"0 Pounds"
"145 CHAPEL ST.",No,"0 Pounds",NON_PBT,"250 Pounds"
"145 CHAPEL ST.",No,"250 Pounds",NON_PBT,"250 Pounds"
"145 CHAPEL ST.",Yes,"0 Pounds",NON_PBT,"250 Pounds"
"145 CHAPEL ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"145 CHAPEL ST.",Yes,"250 Pounds",NON_PBT,"250 Pounds"
"1478 CHESTNUT AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"147 CENTRAL AVE.",Yes,"0 Pounds",NON_PBT," Pounds"
"148 E FIFTH ST",No," Pounds",NON_PBT," Pounds"
"148 E FIFTH ST",Yes," Pounds",NON_PBT," Pounds"
"14 CENTRAL BLVD.",No," Pounds",NON_PBT," Pounds"
"14 CENTRAL BLVD.",Yes," Pounds",NON_PBT," Pounds"
"14 EASTMANS RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"14 HARMICH RD.",Yes,"949 Pounds",NON_PBT,"0 Pounds"
"14 INDUSTRIAL RD",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1501 US HWY. 22  C.S. 1",No,"32721 Pounds",NON_PBT,"0 Pounds"
"150 AVENEL ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"150 DEY RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"150 DEY RD",No,"1 Pounds",NON_PBT,"0 Pounds"
"150 FIRMENICH WAY",No," Pounds",NON_PBT," Pounds"
"150 FIRMENICH WAY",Yes,"13 Pounds",NON_PBT,"0 Pounds"
"150 FIRMENICH WAY",Yes,"222 Pounds",NON_PBT,"0 Pounds"
"150 FIRMENICH WAY",Yes," Pounds",NON_PBT," Pounds"
"150 GRAND ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"150 MT. BETHEL RD.",No,"500 Pounds",NON_PBT,"0 Pounds"
"1511 TONNELLE AVE.",No,"11200 Pounds",NON_PBT,"0 Pounds"
"1515 HWY. 36",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1515 HWY. 36",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1515 W ELIZABETH AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"1515 W ELIZABETH AVE",No,"5 Pounds",NON_PBT,"0 Pounds"
"15-19 1ST AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1525 W BLANCKE ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"1525 W BLANCKE ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"152 GLEN RD",No,"250 Pounds",NON_PBT,"0 Pounds"
"154 HOBART ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
